homework_score,final_score,initial_confidence,final_confidence,condition_no
77.77777777777779,76.19047619047619,4,3,Questionnaire-Based Reflection
77.77777777777779,58.333333333333336,2,2,Revision of Important Slides
100,80.95238095238095,3,3,LLM-Based Reflection
100,76.19047619047619,3,3,LLM-Based Reflection
100,78.57142857142857,1,1,Revision of Important Slides
72.22222222222221,42.857142857142854,1,2,Revision of Important Slides
100,53.57142857142857,3,4,Revision of Important Slides
100,73.80952380952381,2,2,LLM-Based Reflection
77.77777777777779,17.857142857142858,1,1,Revision of Important Slides
88.88888888888889,80.95238095238095,3,3,Questionnaire-Based Reflection
100,72.61904761904762,2,2,LLM-Based Reflection
66.66666666666666,42.857142857142854,1,1,Questionnaire-Based Reflection
100,100,2,2,Questionnaire-Based Reflection
100,77.38095238095238,3,3,Questionnaire-Based Reflection
100,52.38095238095239,2,3,Revision of Important Slides
88.88888888888889,67.85714285714286,2,3,Revision of Important Slides
100,63.095238095238095,2,2,Questionnaire-Based Reflection
100,44.047619047619044,1,1,Questionnaire-Based Reflection
55.55555555555556,52.38095238095239,2,2,LLM-Based Reflection
0,35.714285714285715,3,3,Revision of Important Slides
94.44444444444444,83.33333333333334,4,3,Revision of Important Slides
100,94.04761904761905,2,3,Questionnaire-Based Reflection
33.33333333333333,23.809523809523807,2,2,Revision of Important Slides
66.66666666666666,20.238095238095237,2,2,Revision of Important Slides
88.88888888888889,66.66666666666666,2,4,Revision of Important Slides
0,38.095238095238095,1,2,Questionnaire-Based Reflection
77.77777777777779,73.80952380952381,3,2,Revision of Important Slides
77.77777777777779,52.38095238095239,3,2,Revision of Important Slides
83.33333333333334,51.19047619047619,2,2,LLM-Based Reflection
83.33333333333334,51.19047619047619,2,2,LLM-Based Reflection
100,94.04761904761905,4,4,LLM-Based Reflection
100,59.523809523809526,2,2,Questionnaire-Based Reflection
66.66666666666666,36.904761904761905,2,1,LLM-Based Reflection
88.88888888888889,78.57142857142857,3,3,Revision of Important Slides
88.88888888888889,71.42857142857143,3,3,Questionnaire-Based Reflection
88.88888888888889,80.95238095238095,3,3,Questionnaire-Based Reflection
77.77777777777779,77.38095238095238,2,2,Questionnaire-Based Reflection
100,89.28571428571429,4,4,Revision of Important Slides
100,29.761904761904763,3,3,Questionnaire-Based Reflection
100,76.19047619047619,3,3,Revision of Important Slides
100,80.95238095238095,2,2,Revision of Important Slides
100,94.04761904761905,2,2,LLM-Based Reflection
100,64.28571428571429,3,3,LLM-Based Reflection
100,79.76190476190477,2,2,Questionnaire-Based Reflection
100,77.38095238095238,1,1,Revision of Important Slides
77.77777777777779,40.476190476190474,3,3,Questionnaire-Based Reflection
100,71.42857142857143,4,3,Questionnaire-Based Reflection
77.77777777777779,23.809523809523807,1,1,Revision of Important Slides
100,76.19047619047619,2,2,Revision of Important Slides
100,95.23809523809523,2,3,Questionnaire-Based Reflection
100,85.71428571428571,4,4,Questionnaire-Based Reflection
100,65.47619047619048,2,2,LLM-Based Reflection
88.88888888888889,76.19047619047619,3,3,LLM-Based Reflection
100,71.42857142857143,3,2,Revision of Important Slides
100,72.61904761904762,3,2,Questionnaire-Based Reflection
72.22222222222221,40.476190476190474,3,3,LLM-Based Reflection
77.77777777777779,78.57142857142857,2,2,Revision of Important Slides
100,84.52380952380952,1,1,Revision of Important Slides
61.111111111111114,64.28571428571429,2,2,Revision of Important Slides
100,90.47619047619048,3,3,LLM-Based Reflection
100,79.76190476190477,2,2,Questionnaire-Based Reflection
100,90.47619047619048,3,3,Revision of Important Slides
50,46.42857142857143,2,2,Questionnaire-Based Reflection
100,23.809523809523807,2,2,Revision of Important Slides
77.77777777777779,64.28571428571429,2,2,LLM-Based Reflection
100,89.28571428571429,4,4,Questionnaire-Based Reflection
72.22222222222221,15.476190476190476,2,3,Revision of Important Slides
100,51.19047619047619,3,3,Questionnaire-Based Reflection
100,85.71428571428571,4,4,LLM-Based Reflection
100,80.95238095238095,2,2,Revision of Important Slides
72.22222222222221,54.761904761904766,1,1,Questionnaire-Based Reflection
100,55.952380952380956,2,2,LLM-Based Reflection
77.77777777777779,76.19047619047619,2,2,LLM-Based Reflection
88.88888888888889,60.71428571428571,2,2,Revision of Important Slides
83.33333333333334,79.76190476190477,2,2,Revision of Important Slides
100,76.19047619047619,2,2,LLM-Based Reflection
100,92.85714285714286,3,2,Questionnaire-Based Reflection
100,71.42857142857143,2,2,Questionnaire-Based Reflection
88.88888888888889,46.42857142857143,2,1,Revision of Important Slides
61.111111111111114,55.952380952380956,2,2,LLM-Based Reflection
72.22222222222221,50,2,2,Revision of Important Slides
88.88888888888889,84.52380952380952,1,1,Questionnaire-Based Reflection
77.77777777777779,45.23809523809524,2,2,Revision of Important Slides
77.77777777777779,16.666666666666664,3,1,Questionnaire-Based Reflection
88.88888888888889,59.523809523809526,2,2,LLM-Based Reflection
77.77777777777779,79.76190476190477,2,2,Questionnaire-Based Reflection
100,32.142857142857146,1,1,Revision of Important Slides
77.77777777777779,78.57142857142857,2,2,Revision of Important Slides
55.55555555555556,82.14285714285714,2,3,Revision of Important Slides
72.22222222222221,89.28571428571429,2,2,Revision of Important Slides
77.77777777777779,32.142857142857146,1,1,Questionnaire-Based Reflection
100,82.14285714285714,2,2,Questionnaire-Based Reflection
88.88888888888889,100,3,3,Revision of Important Slides
100,76.19047619047619,3,3,Revision of Important Slides
100,61.904761904761905,1,1,LLM-Based Reflection
100,69.04761904761905,2,2,LLM-Based Reflection
77.77777777777779,41.66666666666667,1,1,LLM-Based Reflection
100,79.76190476190477,2,2,LLM-Based Reflection
88.88888888888889,54.761904761904766,1,4,LLM-Based Reflection
50,48.80952380952381,3,3,Revision of Important Slides
88.88888888888889,54.761904761904766,1,3,LLM-Based Reflection
100,95.23809523809523,3,3,Questionnaire-Based Reflection
66.66666666666666,63.095238095238095,3,3,Questionnaire-Based Reflection
100,77.38095238095238,2,2,Revision of Important Slides
94.44444444444444,70.23809523809523,2,2,Questionnaire-Based Reflection
88.88888888888889,63.095238095238095,2,2,Revision of Important Slides
100,84.52380952380952,2,2,LLM-Based Reflection
72.22222222222221,70.23809523809523,2,2,Revision of Important Slides
